ampl.tab 4 1
project_id	la_id	technology	hour	capacity_factor
SIC1	S7	Hydro_RoR_EP	2012010802	0
SIC10	S4	Hydro_RoR_EP	2012010802	0.913636
SIC11	S4	Hydro_RoR_EP	2012010802	1
SIC12	S4	Hydro_RoR_EP	2012010802	0.419355
SIC13	S4	Hydro_RoR_EP	2012010802	0.947368
SIC14	S4	Hydro_RoR_EP	2012010802	0
SIC15	S4	Hydro_RoR_EP	2012010802	1
SIC16	S8	Hydro_RoR_EP	2012010802	1.01124
SIC17	S8	Hydro_RoR_EP	2012010802	0
SIC18	S11	Hydro_RoR_EP	2012010802	0.975
SIC19	S1	Hydro_RoR_EP	2012010802	0.459641
SIC2	S3	Hydro_RoR_EP	2012010802	0.827273
SIC20	S18	Hydro_RoR_EP	2012010802	0.291829
SIC21	S18	Hydro_RoR_EP	2012010802	0.514706
SIC22	S18	Hydro_RoR_EP	2012010802	0.545455
SIC23	S1	Hydro_RoR_EP	2012010802	0
SIC24	S1	Hydro_RoR_EP	2012010802	0.154286
SIC25	S3	Hydro_RoR_EP	2012010802	0.792157
SIC26	S1	Hydro_RoR_EP	2012010802	0.5
SIC27	S1	Hydro_RoR_EP	2012010802	0.264706
SIC28	S8	Hydro_RoR_EP	2012010802	0.985294
SIC29	S4	Hydro_RoR_EP	2012010802	0.242105
SIC3	S3	Hydro_RoR_EP	2012010802	0.619048
SIC30	S4	Hydro_RoR_EP	2012010802	0
SIC31	S1	Hydro_RoR_EP	2012010802	0.480226
SIC32	S4	Hydro_RoR_EP	2012010802	1
SIC33	S4	Hydro_RoR_EP	2012010802	1.08247
SIC34	S1	Hydro_RoR_EP	2012010802	0.875
SIC35	S3	Hydro_RoR_EP	2012010802	0.718182
SIC36	S7	Hydro_RoR_EP	2012010802	0.375
SIC37	S8	Hydro_RoR_EP	2012010802	0.555556
SIC38	S4	Hydro_RoR_EP	2012010802	1.01852
SIC39	S8	Hydro_RoR_EP	2012010802	1.05789
SIC4	S3	Hydro_RoR_EP	2012010802	0.867347
SIC40	S1	Hydro_RoR_EP	2012010802	0.632653
SIC41	S18	Hydro_RoR_EP	2012010802	0.636364
